@relation InstanceResultListener

@attribute Key_Dataset {train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.ZeroR,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'','-I 100 -K 0 -S 1'}
@attribute Key_Scheme_version_ID {48055541465867954,-2260823972777004705}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1613,4575,0,26.06658,73.93342,0,0,0.184701,0.303889,100,100,17411.727227,17411.727227,0,2.813789,2.813789,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260666,0.260666,0.739334,0.739334,0.067947,0.260666,0.107795,0.5,0.046,0.04,0.046875,0.046875,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184705,0.303896,100,100,17412.656723,17412.656723,0,2.813939,2.813939,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.015,0.022,0.015625,0.015625,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184705,0.303896,100,100,17412.656723,17412.656723,0,2.813939,2.813939,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.012,0.003,0,0.015625,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184699,0.303885,100,100,17410.341884,17410.341884,0,2.813565,2.813565,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.012,0.003,0.015625,0,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.1847,0.303887,100,100,17410.476531,17410.476531,0,2.813587,2.813587,0,0,0,0,0,0,0,0,1,5996,1,192,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.012,0.003,0.015625,0,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184704,0.303894,100,100,17412.608564,17412.608564,0,2.813932,2.813932,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.012,0.003,0.015625,0,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184704,0.303894,100,100,17412.608564,17412.608564,0,2.813932,2.813932,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.013,0.003,0.015625,0,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55690,6188,1612,4576,0,26.05042,73.94958,0,0,0.184704,0.303894,100,100,17412.635056,17412.635056,0,2.813936,2.813936,0,0,0,0,0,0,0,0,1,5995,1,193,0,0,0,0.5,0.260504,0.260504,0.739496,0.739496,0.067862,0.260504,0.107675,0.5,0.012,0.003,0.015625,0,1453,43503656,4842594,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20150419.165,55691,6187,1612,4575,0,26.054631,73.945369,0,0,0.184706,0.303897,100,100,17410.47826,17410.47826,0,2.814042,2.814042,0,0,0,0,0,0,0,0,1,5994,1,193,0,0,0,0.5,0.260546,0.260546,0.739454,0.739454,0.067884,0.260546,0.107706,0.5,0.013,0.005,0.015625,0,1453,43504437,4841813,?,?
