@relation InstanceResultListener

@attribute Key_Dataset {train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.misc.HyperPipes,weka.classifiers.misc.VFI,weka.classifiers.trees.RandomTree}
@attribute Key_Scheme_options {'-I 100 -K 10 -S 2','','-B 0.6','-K 0 -M 1.0 -S 1'}
@attribute Key_Scheme_version_ID {-2260823972777004705,-7527596632268975274,8081692166331321866,8934314652175299374}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.trees.RandomForest,'-I 100 -K 10 -S 2',-2260823972777004705,20150422.142,49502,12376,10019,2357,0,80.955074,19.044926,0,0.766861,0.077655,0.178966,42.043129,58.891514,34824.335599,28517.112361,6307.223238,2.81386,2.304227,0.509633,24746.33772,1.999542,879409.13802,0.401554,155,0.002669,32,0.997331,11958,0.598446,231,0.828877,0.401554,0.541012,0.968488,0.809551,0.048466,0.951534,0.190449,0.810908,0.809551,0.799121,0.972124,168.912,1.531,165.796875,1.53125,216290702,38670828,9675422,?,0.201669
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.trees.RandomForest,'-I 100 -K 10 -S 2',-2260823972777004705,20150422.1422,49502,12376,9974,2402,0,80.591467,19.408533,0,0.762338,0.07692,0.178727,41.644755,58.811934,34825.264923,22026.650465,12798.614457,2.813935,1.779788,1.034148,24823.742433,2.005797,882165.74979,0.365285,141,0.003336,40,0.996664,11950,0.634715,245,0.779006,0.365285,0.497354,0.969222,0.805915,0.049224,0.950776,0.194085,0.806482,0.805915,0.794348,0.972335,149.534,1.407,147.546875,1.40625,216857222,38670828,9675422,?,0.201386
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.trees.RandomForest,'-I 100 -K 10 -S 2',-2260823972777004705,20150422.1425,49502,12376,9979,2397,0,80.631868,19.368132,0,0.763149,0.077351,0.179535,41.878358,59.077919,34825.291311,29589.73889,5235.552421,2.813938,2.390897,0.423041,24779.818446,2.002248,880604.978936,0.404145,156,0.002502,30,0.997498,11960,0.595855,230,0.83871,0.404145,0.545455,0.964736,0.806319,0.048883,0.951117,0.193681,0.806696,0.806319,0.79613,0.970887,151.547,1.406,149.359375,1.40625,215799756,38670828,9675422,?,0.201547
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.trees.RandomForest,'-I 100 -K 10 -S 2',-2260823972777004705,20150422.1428,49503,12375,10008,2367,0,80.872727,19.127273,0,0.766009,0.077229,0.178722,41.812508,58.81109,34820.819839,31637.862415,3182.957423,2.813804,2.556595,0.257209,24812.140982,2.005021,881743.141951,0.375648,145,0.003003,36,0.996997,11953,0.624352,241,0.801105,0.375648,0.511464,0.957393,0.808727,0.048208,0.951792,0.191273,0.80971,0.808727,0.798563,0.972015,150.145,1.438,147.96875,1.375,215925394,38671609,9674641,?,0.201362
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,5,weka.classifiers.trees.RandomForest,'-I 100 -K 10 -S 2',-2260823972777004705,20150422.143,49503,12375,9892,2483,0,79.935354,20.064646,0,0.754202,0.077926,0.180714,42.190571,59.467491,34819.252967,24362.007354,10457.245613,2.813677,1.968647,0.84503,24632.777833,1.990528,875359.310163,0.34026,131,0.003503,42,0.996497,11948,0.65974,254,0.757225,0.34026,0.469534,0.961436,0.799354,0.050958,0.949042,0.200646,0.799246,0.799354,0.787424,0.971138,150.258,1.337,148.515625,1.34375,215957932,38671609,9674641,?,0.200432
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,1,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150422.143,49502,12376,3722,8654,0,30.074337,69.925663,0,0.201941,0.197297,0.313901,106.818653,103.293941,34824.335599,39063.767313,-4239.431714,2.81386,3.156413,-0.342553,1852.925888,0.149719,65847.317561,0.966321,373,0.526272,6310,0.473728,5680,0.033679,13,0.055813,0.966321,0.105531,0.688029,0.300743,0.078205,0.921795,0.699257,0.616215,0.300743,0.326548,0.733238,0.05,0.081,0.046875,0.078125,33248,38670828,9675422,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,2,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150422.143,49502,12376,3710,8666,0,29.977376,70.022624,0,0.204808,0.197301,0.313908,106.819937,103.294922,34825.264923,39066.763054,-4241.498131,2.813935,3.156655,-0.34272,1852.926497,0.149719,65847.778469,0.981865,379,0.544704,6531,0.455296,5459,0.018135,7,0.054848,0.981865,0.103893,0.679821,0.299774,0.073106,0.926894,0.700226,0.660604,0.299774,0.331579,0.728743,0.036,0.042,0.03125,0.046875,33248,38670828,9675422,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,3,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150422.143,49502,12376,3848,8528,0,31.092437,68.907563,0,0.211985,0.1973,0.313907,106.81954,103.294426,34825.291311,39066.226305,-4240.934994,2.813938,3.156612,-0.342674,1851.935586,0.149639,65812.576523,0.976684,377,0.51593,6186,0.48407,5804,0.023316,9,0.057443,0.976684,0.108505,0.701598,0.310924,0.078091,0.921909,0.689076,0.613604,0.310924,0.33821,0.735913,0.032,0.031,0.03125,0.03125,33248,38670828,9675422,?,?
train-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-R1,1,4,weka.classifiers.misc.HyperPipes,'',-7527596632268975274,20150422.143,49503,12375,3705,8670,0,29.939394,70.060606,0,0.203427,0.197299,0.313905,106.819914,103.29523,34820.819839,39062.335337,-4241.515498,2.813804,3.156552,-0.342749,1851.019799,0.149577,65779.249549,0.981865,379,0.540412,6479,0.459588,5510,0.018135,7,0.055264,0.981865,0.104638,0.674675,0.299394,0.074607,0.925393,0.700606,0.618468,0.299394,0.329176,0.729415,0.031,0.047,0.03125,0.046875,33248,38671609,9674641,?,?
