box,activation,hiddenLayers,inputDropout,dropout,epochs,trainSamplesPerIteration,rho,l1,l2,maxw2,epsilon,balance_classes,dataTransformation,lossFunction,executionTime,logLoss1,logLoss2,logLoss3,logLoss4,accuracy1,accuracy2,accuracy3,accuracy4
work,RectifierWithDropout,500;500;250;100,0.1,0,50,-2,0.999,0.001,0.01,1,1.00E-09,FALSE,sqrt,Automatic,4.639921571,0.687912807,0.70313741,0.721268203,0.690529977,0.742921784,0.745814209,0.738121404,0.735358759
work,RectifierWithDropout,100;20,0.01,0,25,-2,0.999,1.00E-04,0,100,1.00E-06,FALSE,raw,MeanSquare,0.109269304,26.74913251,26.57846308,26.60862401,26.64617035,0.22553329,0.230331631,0.229555886,0.228312864
work,TanhWithDropout,36;18,0.2,0.2,10,-2,0.99,1.00E-04,1.00E-05,1,1.00E-07,TRUE,raw,CrossEntropy,0.282694029,0.891079843,0.85683818,0.892107378,0.875321626,0.707950873,0.715948025,0.706574439,0.704460246
work,MaxoutWithDropout,36;18,0.02,0.1,10,-2,0.98,0.001,1.00E-05,100,1.00E-07,FALSE,sqrt,MeanSquare,0.166043109,1.690311835,1.805473093,1.792020869,1.760456138,0.469683258,0.449479604,0.439459564,0.406140918
work,MaxoutWithDropout,100;20,0.2,0.7,25,-2,0.999,1.00E-05,0.001,10,1.00E-06,TRUE,raw,CrossEntropy,1.258135292,1.965909095,1.944704255,1.973914854,2.151013657,0.270458953,0.230331631,0.299437585,0.259211377
work,RectifierWithDropout,100;100,0.01,0.7,50,-2,0.999,0.001,1.00E-04,10,1.00E-07,TRUE,sqrt,Automatic,0.667028338,0.695133318,0.69112969,0.685173924,0.670228074,0.748739496,0.748981835,0.753054496,0.746541694
work,MaxoutWithDropout,36;36;36,0,0.2,10,-2,0.99,0.001,1.00E-04,100,1.00E-06,TRUE,sqrt,Automatic,0.4469555,1.040095541,1.02046791,1.217345045,2.075511688,0.650937298,0.663585235,0.569332213,0.259211377
work,RectifierWithDropout,500;500;250;100,0,0.2,10,-2,0.9999,0,0.01,10,1.00E-07,FALSE,sqrt,Automatic,0.965152295,0.725058816,0.825366987,0.68887661,0.783855148,0.733807369,0.716788416,0.746396018,0.716936005
work,RectifierWithDropout,500;250;50,0,0.1,15,-2,0.98,0.01,0.01,100,1.00E-06,FALSE,sqrt,CrossEntropy,0.91918412,0.911457771,0.89075104,1.014562213,0.957952448,0.690045249,0.690348439,0.651755123,0.653716871
work,TanhWithDropout,200;100;50,0.2,0,10,-2,0.999,1.00E-05,0.001,1,1.00E-07,TRUE,sqrt,MeanSquare,1.872058862,1.079792511,1.014578791,1.029833749,0.974027533,0.677181642,0.665524598,0.656797466,0.6239819
